GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,15,114,3,12,3,27,3,10,0,5
parking-system,com.parkit.parkingsystem.service,ParkingService,24,247,4,7,8,64,5,10,1,8
parking-system,com.parkit.parkingsystem.service,vehiclesCount,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,11,46,0,0,6,11,3,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,4,41,0,0,2,17,1,12,1,12
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.util,DateForParkingApp,4,3,0,0,1,1,1,1,1,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,79,212,4,4,22,55,4,7,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,18,146,3,3,5,40,3,5,0,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,22,2,7,2,4,2
